Prefix-suffix of: A being added with indicies (0, 229).
Prefix-suffix of: C being added with indicies (0, 210).
Prefix-suffix of: D being added with indicies (0, 206).
Prefix-suffix of: E being added with indicies (0, 197).
Prefix-suffix of: F being added with indicies (0, 193).
Prefix-suffix of: G being added with indicies (0, 230).
Prefix-suffix of: K being added with indicies (0, 198).
Prefix-suffix of: P being added with indicies (0, 212).
Prefix-suffix of: Q being added with indicies (0, 198).
Prefix-suffix of: R being added with indicies (0, 188).
Prefix-suffix of: T being added with indicies (0, 211).
Prefix-suffix of: W being added with indicies (0, 175).
Prefix-suffix of: A being added with indicies (1, 199).
Prefix-suffix of: C being added with indicies (1, 185).
Prefix-suffix of: D being added with indicies (1, 179).
Prefix-suffix of: E being added with indicies (1, 175).
Prefix-suffix of: F being added with indicies (1, 170).
Prefix-suffix of: H being added with indicies (1, 172).
Prefix-suffix of: P being added with indicies (1, 189).
Prefix-suffix of: R being added with indicies (1, 167).
Prefix-suffix of: S being added with indicies (1, 194).
Prefix-suffix of: T being added with indicies (1, 187).
Prefix-suffix of: V being added with indicies (1, 188).
Prefix-suffix of: (I/L) being added with indicies (2, 175).
Prefix-suffix of: A being added with indicies (2, 195).
Prefix-suffix of: C being added with indicies (2, 178).
Prefix-suffix of: D being added with indicies (2, 175).
Prefix-suffix of: E being added with indicies (2, 171).
Prefix-suffix of: F being added with indicies (2, 165).
Prefix-suffix of: G being added with indicies (2, 197).
Prefix-suffix of: H being added with indicies (2, 168).
Prefix-suffix of: K being added with indicies (2, 171).
Prefix-suffix of: N being added with indicies (2, 175).
Prefix-suffix of: P being added with indicies (2, 182).
Prefix-suffix of: Q being added with indicies (2, 171).
Prefix-suffix of: S being added with indicies (2, 185).
Prefix-suffix of: T being added with indicies (2, 179).
Prefix-suffix of: V being added with indicies (2, 180).
Prefix-suffix of: W being added with indicies (2, 151).
Prefix-suffix of: Y being added with indicies (2, 159).
Prefix-suffix of: (I/L) being added with indicies (3, 175).
Prefix-suffix of: C being added with indicies (3, 178).
Prefix-suffix of: G being added with indicies (3, 197).
Prefix-suffix of: H being added with indicies (3, 168).
Prefix-suffix of: K being added with indicies (3, 171).
Prefix-suffix of: M being added with indicies (3, 170).
Prefix-suffix of: N being added with indicies (3, 175).
Prefix-suffix of: Q being added with indicies (3, 171).
Prefix-suffix of: S being added with indicies (3, 185).
Prefix-suffix of: T being added with indicies (3, 179).
Prefix-suffix of: V being added with indicies (3, 180).
Prefix-suffix of: W being added with indicies (3, 151).
Prefix-suffix of: Y being added with indicies (3, 159).
Prefix-suffix of: (I/L) being added with indicies (4, 175).
